participant_id,instance_gmt,uuid,mw_label,test_fold_num
BE7-P1001-ND,10/08/2013 14:15:56.871,adf2da0f-8d3a-4ff7-b727-06e9f2355df2.mp4,MW,4
BE7-P1001-ND,10/08/2013 14:16:34.193,c9494a32-4395-473b-a8ca-fad882068fab.mp4,NonMW,4
BE7-P1001-ND,10/08/2013 14:17:02.193,52d55b1c-2d2b-49cf-aa7a-a7bf52e6701f.mp4,NonMW,4
BE7-P1001-ND,10/08/2013 14:17:56.595,fdb2db0d-2280-403a-bcdc-dd61478d9ffc.mp4,MW,4
BE7-P1001-ND,10/08/2013 14:18:18.948,ab711f52-4e25-4cd8-a5af-05262957785e.mp4,MW,4
BE7-P1001-ND,10/08/2013 14:20:04.193,b9380f11-af77-4b21-aa33-f8e5f3e79954.mp4,NonMW,4
BE7-P1001-ND,10/08/2013 14:20:32.193,bc585fc2-fc82-45c4-a5c0-3074a3cec3bf.mp4,NonMW,4
BE7-P1001-ND,10/08/2013 14:21:18.394,63bb963c-0e44-4e00-9303-7beff61aea35.mp4,MW,4
BE7-P1001-ND,10/08/2013 14:22:50.435,b2a24475-e5b3-4baf-8068-d5cae2e49720.mp4,MW,4
BE7-P1001-ND,10/08/2013 14:24:58.193,886f1380-2d5a-478f-908e-24864a10e330.mp4,NonMW,4
BE7-P1001-ND,10/08/2013 14:26:31.806,9a82570b-c8ba-48d7-8c44-26c74cbcf5d3.mp4,MW,4
BE7-P1001-ND,10/08/2013 14:28:28.193,f071fad6-00be-4dc8-bdd3-5f4d6c0aad41.mp4,NonMW,4
BE7-P1001-ND,10/08/2013 14:29:38.193,28caa2a2-00ca-4c7c-a972-b4b5016ed483.mp4,NonMW,4
BE7-P1001-ND,10/08/2013 14:31:02.193,15036cdc-2484-4856-b5fe-485461296afd.mp4,NonMW,4
BE7-P1001-ND,10/08/2013 14:33:08.164,074e3e12-929e-483c-91f2-3f5cb091ce07.mp4,MW,4
BE7-P1001-ND,10/08/2013 14:34:46.193,d1dc1666-e18d-44fd-b9b5-88b2a1de4bbd.mp4,NonMW,4
BE7-P1001-ND,10/08/2013 14:35:42.193,1a45de97-cf18-4e85-b78e-9ad7e3598376.mp4,NonMW,4
BE7-P1001-ND,10/08/2013 14:36:24.193,8f42cab1-0bd1-4cf5-8442-ce21dfc533a1.mp4,NonMW,4
BE7-P1001-ND,10/08/2013 14:36:52.193,e711587e-ca83-4893-8d47-40300afcd7a1.mp4,NonMW,4
BE7-P1001-ND,10/08/2013 14:38:30.193,1c859a09-21d0-44e0-80b3-edf5186a011d.mp4,NonMW,4
BE7-P1001-ND,10/08/2013 14:38:58.193,1a9dc04d-e9cf-440d-aeeb-14f5126a7e2f.mp4,NonMW,4
BE7-P1001-ND,10/08/2013 14:39:26.193,bbeee5f4-87da-4899-9da3-f7ebe7285fb6.mp4,NonMW,4
BE7-P1003-ND,10/09/2013 17:11:09.895,4301061c-8375-4652-9ccb-96e01f311a86.mp4,NonMW,3
BE7-P1003-ND,10/09/2013 17:11:51.895,9be0eb64-f79d-4a27-8f12-908b4052c043.mp4,NonMW,3
BE7-P1003-ND,10/09/2013 17:12:33.895,9ec8586b-18d5-46a2-8fe0-964b74a14851.mp4,NonMW,3
BE7-P1003-ND,10/09/2013 17:13:15.895,002d9411-78be-4bf5-b778-52ba6a0811d4.mp4,NonMW,3
BE7-P1003-ND,10/09/2013 17:13:43.895,1ee2c9ca-5106-4bbd-9e7e-897dd8f2dd69.mp4,NonMW,3
BE7-P1003-ND,10/09/2013 17:13:57.895,dbef5fa3-21c7-4a68-a60d-61ddb11a09bb.mp4,NonMW,3
BE7-P1003-ND,10/09/2013 17:14:39.895,a49c6b25-8617-4392-bfab-2a19a54232f5.mp4,NonMW,3
BE7-P1003-ND,10/09/2013 17:15:49.895,26609c9b-938b-4983-8cf4-d1f71529515a.mp4,NonMW,3
BE7-P1003-ND,10/09/2013 17:16:17.895,ab1064bf-265f-400e-9844-6bcd236c6c0f.mp4,NonMW,3
BE7-P1003-ND,10/09/2013 17:16:31.895,e684b2ee-fa7d-4c7f-ae01-d0caade17d0b.mp4,NonMW,3
BE7-P1003-ND,10/09/2013 17:16:59.895,18f34fd7-18d5-4033-8a32-310669928c0c.mp4,NonMW,3
BE7-P1003-ND,10/09/2013 17:17:27.895,0aade6b8-8089-45e4-89bf-7c14080bd335.mp4,NonMW,3
BE7-P1003-ND,10/09/2013 17:18:37.895,d74a3b28-f0ae-4c48-8b4d-cf8b95acb8d6.mp4,NonMW,3
BE7-P1003-ND,10/09/2013 17:19:05.895,32127ba6-04da-4cdd-a6de-9bbfa5896558.mp4,NonMW,3
BE7-P1003-ND,10/09/2013 17:19:19.895,b634143f-0b96-49bf-ab8c-46b43bf339a2.mp4,NonMW,3
BE7-P1003-ND,10/09/2013 17:20:01.895,51e162ea-9548-4ba6-a820-dcbd1645c55b.mp4,NonMW,3
BE7-P1003-ND,10/09/2013 17:20:29.895,6453d1e7-13c6-489d-a4ff-f9ab284c53b9.mp4,NonMW,3
BE7-P1003-ND,10/09/2013 17:20:57.895,456348d9-41e1-42ff-8eab-deb2a7c70d5a.mp4,NonMW,3
BE7-P1003-ND,10/09/2013 17:21:11.895,70430772-3bf0-4e03-a48c-7984925c4a6e.mp4,NonMW,3
BE7-P1003-ND,10/09/2013 17:21:39.895,8c4e6ff0-6972-4ffa-9be7-c46cb771faca.mp4,NonMW,3
BE7-P1003-ND,10/09/2013 17:22:21.895,5214a714-5700-4740-acd2-304647b61def.mp4,NonMW,3
BE7-P1003-ND,10/09/2013 17:23:59.895,8645874d-0353-41da-aae4-95df09cada00.mp4,NonMW,3
BE7-P1003-ND,10/09/2013 17:24:13.895,60bae23c-4eb1-48a2-a4a1-b29678d2bc54.mp4,NonMW,3
BE7-P1003-ND,10/09/2013 17:24:41.895,e24e90dc-4e71-4ed6-94a3-0d622e76ce04.mp4,NonMW,3
