participant_id,MW,non MW,num of videos,set,gender,glasses,ID,test_fold_num
110001,0,114,114,test,M,N,300,5
110002,10,31,41,train,M,Y,301,1
110004,16,18,34,val,M,Y,302,0
110005,53,40,93,val,M,N,303,0
110006,23,56,79,val,M,N,304,0
110007,79,63,142,train,M,N,305,4
110008,0,9,9,train,M,N,306,0
110011,8,67,75,train,M,Y,307,3
110012,11,76,87,train,M,Y,308,3
110013,1,7,8,train,M,Y,309,0
110014,34,55,89,train,M,Y,310,2
110015,25,53,78,train,M,N,311,1
110016,13,18,31,train,M,Y,312,0
110017,22,56,78,train,M,Y,313,1
110041,12,17,29,train,M,N,314,3
111003,31,37,68,train,F,N,315,1
181374,5,107,112,test,F,N,316,5
200048,5,26,31,train,M,Y,317,1
200049,0,14,14,train,M,N,318,2
200050,45,64,109,train,M,N,319,2
200054,19,70,89,test,M,N,320,5
202614,8,69,77,train,F,Y,321,4
205601,8,80,88,train,F,N,322,1
210051,16,74,90,test,M,Y,323,5
210052,20,91,111,val,M,N,324,0
210053,5,122,127,train,M,N,325,1
210055,42,79,121,val,M,N,326,0
210056,8,77,85,train,M,N,327,1
210057,48,70,118,train,M,N,328,3
210058,43,56,99,val,M,Y,329,0
210059,14,110,124,train,M,N,330,2
210060,39,82,121,train,M,N,331,3
210061,17,106,123,train,M,Y,332,2
226051,27,68,95,train,F,N,333,1
240846,8,81,89,test,F,Y,334,5
248510,0,80,80,train,F,Y,335,1
290428,7,86,93,train,F,Y,336,2
303830,17,66,83,train,F,N,337,1
310062,5,81,86,train,M,N,338,4
310063,5,65,70,test,M,Y,339,5
310064,24,29,53,train,M,N,340,4
310066,19,26,45,train,M,Y,341,3
310068,10,9,19,val,M,N,342,0
310069,11,27,38,train,M,Y,343,4
310070,20,63,83,train,M,N,344,2
310071,3,6,9,train,M,Y,345,2
310072,4,109,113,train,M,N,346,4
310073,5,41,46,train,M,N,347,3
310074,8,99,107,train,M,N,348,2
310075,59,50,109,train,M,Y,349,3
310076,23,20,43,train,M,N,350,0
310077,20,94,114,val,M,N,351,0
310078,5,111,116,train,M,N,352,2
310079,17,70,87,test,M,Y,353,5
310080,1,2,3,train,M,N,354,None
310081,15,31,46,test,M,Y,355,5
310082,15,40,55,train,M,N,356,1
310083,7,22,29,train,M,N,357,4
334463,26,82,108,val,F,N,358,0
337021,3,87,90,train,F,Y,359,3
342227,2,95,97,train,F,N,360,1
350361,7,106,113,test,F,Y,361,5
400018,37,81,118,train,M,N,362,2
400022,38,22,60,train,M,Y,363,1
400023,5,49,54,train,M,Y,364,4
400030,28,34,62,train,M,Y,365,4
400033,21,87,108,train,M,N,366,4
401835,3,80,83,train,F,Y,367,3
410019,68,21,89,train,M,N,368,4
410020,33,72,105,train,M,Y,369,2
410024,34,34,68,test,M,Y,370,5
410025,76,36,112,train,M,N,371,1
410026,39,46,85,val,M,N,372,0
410027,13,16,29,train,M,Y,373,1
410028,45,29,74,train,M,N,374,4
410029,54,64,118,train,M,Y,375,3
410030,27,8,35,train,M,Y,376,4
410032,24,44,68,train,M,N,377,3
411021,81,31,112,train,F,Y,378,2
411031,30,23,53,train,F,Y,379,3
414081,15,96,111,train,F,Y,380,0
459999,11,71,82,train,F,Y,381,1
500039,59,49,108,train,M,Y,382,0
500043,1,12,13,train,M,Y,383,2
500044,32,87,119,train,M,Y,384,3
500067,37,89,126,train,M,N,385,4
500095,40,72,112,train,M,N,386,2
510009,6,78,84,train,M,Y,387,1
510034,45,36,81,val,M,N,388,0
510035,34,50,84,train,M,N,389,1
510036,4,2,6,train,M,Y,390,4
510037,0,31,31,train,M,Y,391,3
510038,10,114,124,train,M,Y,392,3
510040,43,69,112,train,M,Y,393,0
510042,30,99,129,test,M,N,394,5
510045,2,86,88,train,M,N,395,2
510046,18,104,122,train,M,N,396,3
510047,18,65,83,train,M,N,397,0
522129,0,109,109,train,F,Y,398,4
556463,34,61,95,train,F,Y,399,1
567496,6,74,80,train,F,Y,400,2
591292,2,81,83,test,F,Y,401,5
769862,10,80,90,train,F,N,402,2
799402,26,79,105,train,F,N,403,2
826382,5,74,79,train,F,N,404,3
826412,37,47,84,train,F,N,405,4
882654,3,88,91,train,F,Y,406,3
907001,2,53,55,train,F,Y,407,4
928901,8,76,84,train,F,Y,408,4
940328,3,64,67,val,F,N,409,0
987736,2,39,41,train,F,N,410,4
110010,1,0,1,train,M,Y,411,None
