participant_id,MW,non MW,num of videos,set,gender,glasses,ID,test_fold_num
subject_37,81,7,88,test,F,N,526,5
subject_73,7,2,9,train,M,N,554,1
subject_60,5,92,97,train,M,N,544,3
subject_93,0,105,105,train,M,N,568,3
subject_30,70,10,80,train,F,Y,522,1
subject_78,43,43,86,train,M,N,558,2
subject_61,2,0,2,test,F,N,605,None
subject_108,50,51,101,train,M,N,579,0
subject_115,0,1,1,test,F,Y,606,None
subject_68,10,85,95,train,M,Y,551,2
subject_41,12,83,95,train,F,Y,528,0
subject_110,27,73,100,train,M,Y,581,1
subject_124,50,45,95,train,M,N,589,1
subject_100,0,60,60,train,M,Y,572,1
subject_75,12,91,103,val,M,N,555,0
subject_2,39,77,116,val,F,Y,502,0
subject_39,149,35,184,val,M,N,527,0
subject_119,0,104,104,val,M,Y,585,0
subject_74,50,46,96,train,M,N,593,2
subject_120,0,10,10,test,M,N,586,5
subject_80,2,0,2,test,F,N,603,None
subject_22,103,8,111,val,M,Y,515,0
subject_50,2,0,2,test,M,N,607,None
subject_86,3,94,97,train,M,Y,597,0
subject_76,0,95,95,train,M,N,556,2
subject_84,3,103,106,train,M,N,563,4
subject_77,0,96,96,test,F,N,557,5
subject_63,48,60,108,train,M,N,547,4
subject_0,83,10,93,test,F,Y,500,5
subject_109,3,98,101,train,M,N,580,1
subject_44,38,57,95,train,F,N,531,3
subject_27,3,96,99,train,F,N,519,2
subject_111,12,89,101,train,M,Y,582,1
subject_57,73,25,98,val,F,N,541,0
subject_17,11,88,99,val,M,N,512,0
subject_107,31,69,100,train,F,N,578,2
subject_126,4,101,105,train,M,N,590,4
subject_103,59,44,103,train,M,N,575,4
subject_19,0,101,101,train,M,N,513,3
subject_101,4,137,141,train,M,Y,573,2
subject_69,64,42,106,train,F,N,552,1
subject_62,14,69,83,train,M,N,546,3
subject_20,13,51,64,test,M,N,600,5
subject_5,60,39,99,test,F,Y,504,5
subject_102,1,65,66,test,F,N,574,5
subject_29,35,64,99,train,M,N,521,2
subject_55,16,76,92,train,F,N,539,4
subject_13,1,98,99,val,F,N,602,0
subject_16,2,94,96,train,M,N,511,0
subject_36,7,101,108,val,F,N,592,0
subject_56,7,90,97,train,M,Y,540,1
subject_14,12,104,116,train,F,N,509,2
subject_7,90,12,102,train,M,N,595,1
subject_66,5,72,77,train,F,N,549,3
subject_98,0,108,108,train,M,N,570,2
subject_122,24,78,102,train,F,Y,601,4
subject_10,2,94,96,train,M,N,507,3
subject_3,24,62,86,val,M,Y,503,0
subject_25,0,96,96,train,M,N,518,3
subject_1,18,83,101,train,M,Y,501,3
subject_70,11,83,94,train,M,N,553,4
subject_121,25,79,104,train,M,N,587,0
subject_28,3,0,3,test,M,Y,609,None
subject_21,40,58,98,train,M,N,514,1
subject_15,40,69,109,train,F,N,510,3
subject_46,4,0,4,train,M,N,532,4
subject_95,70,23,93,train,M,Y,569,1
subject_83,93,17,110,train,F,N,562,2
subject_32,29,7,36,train,F,Y,524,1
subject_81,46,46,92,train,M,Y,561,4
subject_92,95,12,107,train,M,N,567,3
subject_58,15,79,94,train,F,Y,542,1
subject_12,2,101,103,train,M,N,508,4
subject_52,37,70,107,train,M,Y,536,3
subject_45,12,94,106,train,F,N,598,1
subject_23,80,36,116,train,F,Y,516,4
subject_53,0,98,98,train,M,N,537,2
subject_59,7,89,96,train,F,Y,543,3
subject_79,32,65,97,train,M,Y,559,3
subject_35,84,7,91,train,F,N,525,0
subject_96,15,90,105,train,F,N,591,2
subject_125,0,97,97,test,M,N,596,5
subject_48,1,5,6,train,M,N,534,2
subject_99,13,118,131,train,M,N,571,3
subject_47,59,53,112,train,F,Y,533,2
subject_123,41,54,95,train,F,N,588,4
subject_24,30,40,70,train,M,N,517,4
subject_104,194,2,196,train,M,N,576,2
subject_88,1,0,1,test,F,N,610,None
subject_89,46,46,92,test,M,N,565,5
subject_65,4,91,95,train,M,N,548,2
subject_85,14,81,95,test,M,N,594,5
subject_106,23,74,97,train,M,N,577,4
subject_91,31,65,96,val,M,Y,566,0
subject_9,2,93,95,train,M,Y,506,1
subject_6,0,94,94,train,M,Y,505,1
subject_43,11,87,98,train,M,Y,530,0
subject_54,28,78,106,train,M,Y,538,3
subject_67,81,111,192,train,M,N,550,1
