participant_id,MW,non MW,num of videos,set,gender,glasses,ID,test_fold_num
p1,1,14,15,val,F,N,nan,0
p10,5,9,14,train,F,Y,nan,2
p11,2,2,4,train,F,Y,nan,4
p13,6,5,11,train,F,N,nan,3
p14,3,8,11,train,F,Y,nan,3
p15,2,13,15,val,F,N,nan,0
p17,9,6,15,train,F,N,nan,0
p18,9,2,11,val,F,N,nan,0
p19,7,8,15,train,F,Y,nan,2
p20,4,10,14,train,F,N,nan,3
p21,6,9,15,train,F,Y,nan,1
p22,7,8,15,train,F,N,nan,4
p23,9,6,15,train,F,N,nan,1
p24,3,12,15,train,F,Y,nan,3
p26,4,11,15,train,F,N,nan,1
p27,10,5,15,val,F,N,nan,0
p28,5,7,12,train,M,N,nan,0
p29,5,10,15,test,M,Y,nan,5
p3,6,5,11,train,M,N,nan,2
p30,6,8,14,train,F,N,nan,2
p31,2,5,7,train,F,Y,nan,4
p32,4,11,15,train,F,N,nan,3
p33,2,12,14,train,M,N,nan,3
p34,8,7,15,test,F,N,nan,5
p35,6,8,14,val,F,N,nan,0
p36,8,5,13,train,F,Y,nan,1
p37,2,9,11,train,F,Y,nan,4
p38,5,4,9,train,M,N,nan,2
p39,2,4,6,train,F,N,nan,1
p4,2,13,15,test,F,N,nan,5
p40,2,8,10,train,M,N,nan,2
p41,1,4,5,train,F,N,nan,2
p42,5,6,11,train,F,Y,nan,4
p43,1,4,5,train,M,Y,nan,4
p44,3,7,10,test,M,N,nan,5
p45,9,3,12,train,F,N,nan,3
p46,9,1,10,train,F,Y,nan,3
p47,6,6,12,train,F,Y,nan,0
p48,6,7,13,train,F,N,nan,3
p49,4,7,11,train,M,N,nan,1
p5,3,10,13,train,F,Y,nan,4
p51,8,5,13,train,F,N,nan,0
p52,1,3,4,train,F,Y,nan,3
p53,4,6,10,train,F,N,nan,4
p55,2,13,15,train,F,N,nan,1
p57,5,7,12,train,F,N,nan,4
p58,3,12,15,train,F,N,nan,1
p59,2,4,6,test,F,N,nan,5
p60,5,10,15,train,F,N,nan,1
p61,7,5,12,train,M,Y,nan,4
p62,4,11,15,train,M,N,nan,2
p63,6,8,14,train,M,N,nan,3
p65,3,10,13,train,F,N,nan,2
p66,5,5,10,train,M,Y,nan,2
p68,2,11,13,val,F,N,nan,0
p7,4,6,10,train,F,Y,nan,1
p70,8,7,15,test,F,N,nan,5
p71,4,3,7,train,F,N,nan,3
p72,7,6,13,test,F,Y,nan,5
p73,5,9,14,train,F,N,nan,4
p77,4,11,15,train,F,N,nan,4
p78,4,11,15,train,F,Y,nan,1
p79,3,12,15,train,M,N,nan,3
p8,3,9,12,val,F,N,nan,0
p80,3,12,15,train,F,N,nan,0
p81,5,5,10,train,F,N,nan,3
p83,3,1,4,test,F,N,nan,5
p85,10,4,14,train,F,N,nan,1
p86,4,11,15,train,F,N,nan,2
p87,2,12,14,train,F,Y,nan,1
p88,2,13,15,val,F,N,nan,0
p9,6,8,14,train,M,N,nan,2
p90,6,9,15,train,F,Y,nan,1
p91,3,8,11,val,F,Y,nan,0
p93,3,8,11,train,F,N,nan,4
p94,3,2,5,train,F,N,nan,2
p97,7,8,15,train,F,N,nan,2
