,index,rtime,secs,time_x,event,MW,mw_label,time_y,frame,uuid,participant_id,test_fold_num
0,0,1622964457.1,46468.0,1622964457.13988,probe,y,NonMW,1622964457.059914,18498,p00018498,p0,3
1,1,1622964497.2,86496.0,1622964497.175982,probe,y,NonMW,1622964497.156996,19701,p00019701,p0,3
2,2,1622964536.4,125866.0,1622964536.376793,probe,n,MW,1622964536.371796,20877,p00020877,p0,3
3,3,1622964576.4,165665.0,1622964576.419734,probe,n,MW,1622964576.371762,22077,p00022077,p0,3
4,4,1622964617.4,206830.0,1622964617.358474,probe,y,NonMW,1622964617.363474,23307,p00023307,p0,3
5,5,1622964656.7,245985.0,1622964656.665979,probe,y,NonMW,1622964656.658983,24486,p00024486,p0,3
6,6,1622964697.2,286601.0,1622964697.153696,probe,n,MW,1622964697.171684,25701,p00025701,p0,3
7,7,1622964737.8,327254.0,1622964737.777728,probe,n,MW,1622964737.762742,26919,p00026919,p0,3
8,8,1622964777.2,366485.0,1622964777.152988,probe,y,NonMW,1622964777.170978,28101,p00028101,p0,3
9,9,1622964817.0,406232.0,1622964816.958183,probe,y,NonMW,1622964816.963179,29295,p00029295,p0,3
10,10,1622964857.3,446497.0,1622964857.253491,probe,y,NonMW,1622964857.267488,30504,p00030504,p0,3
11,11,1622964897.3,486585.0,1622964897.317491,probe,y,NonMW,1622964897.266519,31704,p00031704,p0,3
12,12,1622964936.9,526385.0,1622964936.934681,probe,y,NonMW,1622964936.865725,32892,p00032892,p0,3
13,13,1622964977.1,566494.0,1622964977.081492,probe,y,NonMW,1622964977.073499,34098,p00034098,p0,3
14,14,1622965017.7,607068.0,1622965017.693904,probe,y,NonMW,1622965017.665921,35316,p00035316,p0,3
15,15,1622965057.7,647028.0,1622965057.720292,probe,n,MW,1622965057.665326,36516,p00036516,p0,3
16,16,1622965097.5,686833.0,1622965097.470078,probe,n,MW,1622965097.475077,37710,p00037710,p0,3
17,17,1622965137.0,726449.0,1622965137.0041,probe,y,NonMW,1622965136.977136,38895,p00038895,p0,3
18,18,1622965177.0,766427.0,1622965177.010054,probe,y,NonMW,1622965176.976308,40095,p00040095,p0,3
19,19,1622965217.0,806422.0,1622965216.984016,probe,y,NonMW,1622965216.977019,41295,p00041295,p0,3
20,20,1622965257.8,847234.0,1622965257.804568,probe,n,MW,1622965257.777586,42519,p00042519,p0,3
21,21,1622965297.9,887185.0,1622965297.885153,probe,n,MW,1622965297.871161,43722,p00043722,p0,3
22,22,1622965338.1,927556.0,1622965338.140998,probe,n,MW,1622965338.079603,44928,p00044928,p0,3
23,23,1622965377.0,966211.0,1622965376.972895,probe,y,NonMW,1622965376.977898,46095,p00046095,p0,3
24,24,1622965417.1,1006388.0,1622965417.112344,probe,y,NonMW,1622965417.072376,47298,p00047298,p0,3
25,25,1622965457.3,1046634.0,1622965457.261144,probe,y,NonMW,1622965457.279914,48504,p00048504,p0,3
